match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,MI,CSK,1,1,Rohit,Parthiv,Ashwin,0,0,0,0,0,0,1,0,1,,,
1,1,MI,CSK,1,2,Rohit,Parthiv,Ashwin,0,0,0,0,0,0,2,1,3,,,
1,1,MI,CSK,1,3,Rohit,Parthiv,Ashwin,0,0,0,0,0,0,4,0,4,,,
2,1,RCB,KKR,1,1,Virat,ABD,Narine,0,0,0,0,0,0,1,2,3,,,
2,1,RCB,KKR,1,2,Virat,ABD,Narine,0,0,0,0,0,0,2,0,2,,,
2,1,RCB,KKR,1,3,Virat,ABD,Narine,0,0,0,0,0,0,6,1,7,,,
3,1,MI,RCB,1,1,Rohit,Pollard,Bumrah,0,0,0,0,0,0,1,1,2,,,
3,1,MI,RCB,1,2,Rohit,Pollard,Bumrah,0,0,0,0,0,0,2,0,2,,,
3,1,MI,RCB,1,3,Rohit,Pollard,Bumrah,0,0,0,0,0,0,0,2,2,,,
4,1,CSK,KKR,1,1,Dhoni,Raina,Ashwin,0,0,0,0,0,0,1,3,4,,,
4,1,CSK,KKR,1,2,Dhoni,Raina,Ashwin,0,0,0,0,0,0,2,0,2,,,
4,1,CSK,KKR,1,3,Dhoni,Raina,Ashwin,0,0,0,0,0,0,3,1,4,,,
5,1,SRH,MI,1,1,Warner,Williamson,Bumrah,0,0,0,0,0,0,1,0,1,,,
5,1,SRH,MI,1,2,Warner,Williamson,Bumrah,0,0,0,0,0,0,4,0,4,,,
5,1,SRH,MI,1,3,Warner,Williamson,Bumrah,0,0,0,0,0,0,2,0,2,,,
