Umpire,Country
Aleem Dar,Pakistan
Asad Rauf,Pakistan
Kumar Dharmasena,Sri Lanka
Rod Tucker,Australia
Richard Illingworth,England
Marais Erasmus,South Africa
Nigel Llong,England
Bruce Oxenford,Australia
Simon Taufel,Australia
Chris Gaffaney,New Zealand
Paul Reiffel,Australia
S Ravi,India
C Shamshuddin,India
Anil Chaudhary,India
Nitin Menon,India
CK Nandan,India
AK Chaudhary,India
S Asnani,India
VA Kulkarni,India
BNJ Oxenford,Australia
HDPK Dharmasena,Sri Lanka
BF Bowden,New Zealand
RE Koertzen,South Africa
SJ Davis,Australia
M Erasmus,South Africa
RK Illingworth,England
NJ Llong,England
SD Fry,Australia
O Nandan,India
K Srinath,India
KN Ananthapadmanabhan,India
UV Gandhe,India
YC Barde,India
CB Gaffaney,New Zealand
A Nand Kishore,India
